month,arabica_usd_per_kg,robusta_usd_per_kg
2015M01,4.188778,2.160748062
2015M02,3.943844718,2.168464232
2015M03,3.543706188,2.031777792
2015M04,3.6155768,2.029573172
2015M05,3.493881776,1.930365272
2015M06,3.522100912,1.98966955
2015M07,3.40503559,1.920664944
2015M08,3.459489704,1.891123036
2015M09,3.22205213,1.7967653
2015M10,3.37858015,1.824984436
2015M11,3.262396676,1.802056388
2015M12,3.277388092,1.747822736
2016M01,3.197360386,1.647071602
2016M02,3.25622374,1.632300648
2016M03,3.4722765,1.66669272
2016M04,3.399964964,1.767664316
2016M05,3.421349778,1.850337566
2016M06,3.64754379,1.894650428
2016M07,3.786655312,2.002235884
2016M08,3.693620348,2.023620698
2016M09,3.88674506,2.135835856
2016M10,3.945387952,2.28508863
2016M11,4.059146344,2.286631864
2016M12,3.566634236,2.24540547
2017M01,3.717209782,2.388044384
2017M02,3.66738537,2.347699838
2017M03,3.53069893,2.352990926
2017M04,3.42597948,2.283545396
2017M05,3.30693,2.168464232
2017M06,3.157456764,2.24761009
2017M07,3.299434292,2.313528228
2017M08,3.304284456,2.304268824
2017M09,3.231091072,2.186542116
2017M10,3.102120802,2.169125618
2017M11,3.10630958,2.013479446
2017M12,3.029588804,1.931026658
2018M01,3.060233022,1.95439563
2018M02,3.004456136,1.967402888
2018M03,2.976898386,1.944033916
2018M04,2.961686508,1.946899922
2018M05,2.989685182,1.956379788
2018M06,2.954852186,1.897516434
2018M07,2.87923372,1.861140204
2018M08,2.760404702,1.780010188
2018M09,2.671558516,1.69094354
2018M10,3.027825108,1.880981784
2018M11,3.022754482,1.841298624
2018M12,2.80207202,1.710123734
2019M01,2.832054852,1.724894688
2019M02,2.83183439,1.73393363
2019M03,2.731303718,1.696675552
2019M04,2.670456206,1.615545536
2019M05,2.65766941,1.567925744
2019M06,2.860053526,1.631859724
2019M07,2.986598714,1.629875566
2019M08,2.782891826,1.560209574
2019M09,2.841534718,1.557343568
2019M10,2.799646938,1.513030706
2019M11,3.108073276,1.615545536
2019M12,3.455080464,1.614443226
2020M01,3.134749178,1.55535941
2020M02,2.9872601,1.500684834
2020M03,3.270112846,1.487236652
2020M04,3.406578824,1.410074952
2020M05,3.303402608,1.422641286
2020M06,3.119978224,1.424625444
2020M07,3.235941236,1.492307278
2020M08,3.59904215,1.602317816
2020M09,3.672015072,1.604301974
2020M10,3.352345172,1.507078232
2020M11,3.323023726,1.595703956
2020M12,3.479110822,1.588208248
2021M01,3.542383416,1.559327726
2021M02,3.669149066,1.617529694
2021M03,3.68281771,1.628332332
2021M04,3.71809163,1.641560052
2021M05,4.110734452,1.756641216
2021M06,4.243011652,1.870179146
2021M07,4.503818198,2.080499894
2021M08,4.767270288,2.098357316
2021M09,4.972299948,2.30603252
2021M10,5.314456972,2.320142088
2021M11,5.709083952,2.41185428
2021M12,5.910145296,2.483724892
2022M01,5.976283896,2.425082
2022M02,6.169188146,2.412515666
2022M03,5.698501776,2.288836484
2022M04,5.854147948,2.291041104
2022M05,5.741271404,2.27296322
2022M06,6.033824478,2.288616022
2022M07,5.639197498,2.212115708
2022M08,5.917861466,2.41736583
2022M09,5.897138038,2.455064832
2022M10,5.292851696,2.270979062
2022M11,4.715461718,2.041257658
2022M12,4.629481538,2.045446436
2023M01,4.558272312,2.115994276
2023M02,5.064673526,2.291261566
2023M03,4.902193032,2.347699838
2023M04,5.060925672,2.55074534
2023M05,4.852809544,2.70176181
2023M06,4.572161418,2.912964406
2023M07,4.265719238,2.812654196
2023M08,4.116686926,2.747397444
2023M09,4.045918624,2.731303718
2023M10,4.04768232,2.619970408
2023M11,4.347069716,2.703525506
2023M12,4.646457112,2.986598714
2024M01,4.47317398,3.26393991
2024M02,4.602805636,3.378139226
2024M03,4.605010256,3.65636227
2024M04,5.274332888,4.233531786
2024M05,5.083192334,4.04217077
2024M06,5.476055618,4.504259122
2024M07,5.66807802,4.733760064
2024M08,5.763758528,4.732878216
2024M09,6.124654822,5.330330236
2024M10,6.101726774,4.892272242
2024M11,6.723650076,4.984866282
2024M12,7.569342308,5.218996926
