country,year,export_value_usd,net_weight_kg
Brazil,2015,5564990043.0,2006522496.0
Colombia,2015,2576546111.0,717944848.0
Vietnam,2015,2415422841.0,1283739022.0
Peru,2015,613682907.26,184927087.34
Ecuador,2015,19858013.0,6467643.0
Brazil,2019,4584848752.0,2232814993.077
Colombia,2019,2363170296.96,769010988.357
Vietnam,2019,2218821270.56,1421866169.455
Peru,2019,636834747.93,232421638.57
Ecuador,2019,9243351.32,1857587.97
Brazil,2022,8542533005.0,2135491315.38
Colombia,2022,4108628844.15,642673745.17
Vietnam,2022,2952034941.248,1393027413.376
Peru,2022,1188902260.901,237189201.744
Ecuador,2022,28354236.0,5663171.9
Brazil,2023,7350813207.0,2121099053.628
Vietnam,2023,3183873274.422,1077072475.819
Colombia,2023,2914732640.71,591664802.11
Peru,2023,829281631.89,204797619.533
Ecuador,2023,12611113.0,
Brazil,2024,11373030987.0,2772872452.18
Colombia,2024,3545447941.32,667685035.619
Peru,2024,1101838799.279,238482116.043
Ecuador,2024,12198698.454,1832511.749
