country,iso3,year,political_stability,government_effectiveness,regulatory_quality,rule_of_law
Belgium,BEL,2015,0.6582,1.5255,1.1764,1.4252
Belgium,BEL,2016,0.4864,1.352,1.3239,1.4372
Belgium,BEL,2017,0.3648,1.1504,1.2708,1.3775
Belgium,BEL,2018,0.4247,1.2308,1.2684,1.4208
Belgium,BEL,2019,0.3774,1.1206,1.289,1.4493
Belgium,BEL,2020,0.3686,1.1696,1.3238,1.4533
Belgium,BEL,2021,0.4619,1.2283,1.3954,1.4052
Belgium,BEL,2022,0.2465,1.3104,1.408,1.3398
Belgium,BEL,2023,0.1994,1.1646,1.2914,1.272
Belgium,BEL,2024,0.1215,1.1947,1.2435,1.2828
Brazil,BRA,2015,-0.4959,-0.1018,-0.0963,-0.2252
Brazil,BRA,2016,-0.5264,-0.1005,-0.0962,-0.1486
Brazil,BRA,2017,-0.6021,-0.105,-0.1063,-0.2808
Brazil,BRA,2018,-0.6452,-0.2064,-0.2443,-0.4015
Brazil,BRA,2019,-0.7221,0.0428,-0.0994,-0.3862
Brazil,BRA,2020,-0.4274,-0.0874,-0.1519,-0.3922
Brazil,BRA,2021,-0.3923,-0.0686,-0.1511,-0.4091
Brazil,BRA,2022,-0.4158,-0.2352,-0.1989,-0.4398
Brazil,BRA,2023,-0.5216,-0.2666,-0.236,-0.483
Brazil,BRA,2024,-0.5206,-0.224,-0.2945,-0.4462
Chile,CHL,2015,0.6781,1.0506,1.223,1.0033
Chile,CHL,2016,0.5937,0.9735,1.2761,0.9893
Chile,CHL,2017,0.5894,0.9621,1.2402,0.9674
Chile,CHL,2018,0.6742,1.0356,1.1754,0.9581
Chile,CHL,2019,0.1657,1.047,1.0773,0.9142
Chile,CHL,2020,0.1363,0.8728,0.8903,0.7392
Chile,CHL,2021,0.1463,0.8698,0.8737,0.7565
Chile,CHL,2022,-0.0044,0.8754,0.8278,0.7438
Chile,CHL,2023,0.0877,0.997,0.8475,0.6648
Chile,CHL,2024,0.1214,0.9645,0.7807,0.6911
China,CHN,2015,-0.5462,0.5336,-0.179,-0.6621
China,CHN,2016,-0.5014,0.5432,-0.1479,-0.6212
China,CHN,2017,-0.2033,0.5788,-0.0708,-0.5354
China,CHN,2018,-0.237,0.5311,-0.0906,-0.5204
China,CHN,2019,-0.1386,0.6707,-0.0619,-0.5516
China,CHN,2020,-0.3027,0.5675,-0.0666,-0.5094
China,CHN,2021,-0.2592,0.6669,-0.0247,-0.5386
China,CHN,2022,-0.2491,0.5292,-0.0908,-0.5639
China,CHN,2023,-0.1745,0.7776,-0.0819,-0.5523
China,CHN,2024,-0.1533,0.8958,-0.0713,-0.5793
Colombia,COL,2015,-0.9555,-0.134,0.3095,-0.3995
Colombia,COL,2016,-0.8735,-0.1151,0.2729,-0.3488
Colombia,COL,2017,-0.7799,-0.1489,0.1684,-0.3654
Colombia,COL,2018,-0.6656,-0.1139,0.1089,-0.422
Colombia,COL,2019,-0.9053,-0.0738,0.2323,-0.4528
Colombia,COL,2020,-0.6819,-0.083,0.1608,-0.4825
Colombia,COL,2021,-1.0148,-0.0318,0.2366,-0.507
Colombia,COL,2022,-0.8092,0.0016,0.1864,-0.5296
Colombia,COL,2023,-0.7993,-0.0421,0.1366,-0.5649
Colombia,COL,2024,-0.9709,-0.1111,0.0134,-0.5597
Ecuador,ECU,2015,-0.1823,-0.1938,-0.9665,-1.0655
Ecuador,ECU,2016,-0.1673,-0.1532,-0.8668,-0.966
Ecuador,ECU,2017,-0.1274,-0.1426,-0.9373,-0.8824
Ecuador,ECU,2018,-0.0672,-0.213,-0.8243,-0.7671
Ecuador,ECU,2019,-0.2098,-0.1953,-0.7316,-0.6486
Ecuador,ECU,2020,-0.1514,-0.3435,-0.736,-0.5676
Ecuador,ECU,2021,-0.1983,-0.1107,-0.5551,-0.4315
Ecuador,ECU,2022,-0.2336,0.0016,-0.4783,-0.5795
Ecuador,ECU,2023,-0.3544,-0.1625,-0.5995,-0.8586
Ecuador,ECU,2024,-0.7211,-0.2196,-0.6464,-0.965
France,FRA,2015,0.1736,1.4593,1.1137,1.2425
France,FRA,2016,-0.0415,1.42,1.1026,1.2563
France,FRA,2017,0.23,1.4018,1.2329,1.2449
France,FRA,2018,0.1044,1.5187,1.2679,1.2255
France,FRA,2019,0.2041,1.4821,1.4572,1.1849
France,FRA,2020,0.1271,1.4907,1.2589,1.1272
France,FRA,2021,0.1242,1.5363,1.2844,1.0806
France,FRA,2022,0.0198,1.4638,1.2689,1.0195
France,FRA,2023,-0.0188,1.3518,1.2327,0.9946
France,FRA,2024,-0.2414,1.2007,1.1462,0.9787
Germany,DEU,2015,0.8311,1.9623,1.6412,1.7399
Germany,DEU,2016,0.7945,1.9058,1.6895,1.6848
Germany,DEU,2017,0.7022,1.8901,1.6947,1.7029
Germany,DEU,2018,0.8239,1.8019,1.6796,1.7155
Germany,DEU,2019,0.7272,1.8881,1.6651,1.7077
Germany,DEU,2020,0.6841,1.7813,1.5622,1.6271
Germany,DEU,2021,0.6603,1.8266,1.6129,1.6349
Germany,DEU,2022,0.5285,1.7793,1.5636,1.5811
Germany,DEU,2023,0.506,1.5614,1.4742,1.5856
Germany,DEU,2024,0.1243,1.5463,1.4981,1.6258
Japan,JPN,2015,1.2226,1.7061,1.4111,1.436
Japan,JPN,2016,1.1199,1.8137,1.5288,1.4337
Japan,JPN,2017,1.1694,1.7125,1.3986,1.4892
Japan,JPN,2018,1.1379,1.8249,1.3645,1.4871
Japan,JPN,2019,1.1161,1.8365,1.3887,1.512
Japan,JPN,2020,1.1325,1.8051,1.3672,1.5139
Japan,JPN,2021,1.1601,1.653,1.3956,1.5319
Japan,JPN,2022,1.2759,2.0308,1.4107,1.5085
Japan,JPN,2023,1.2674,1.9884,1.3979,1.5085
Japan,JPN,2024,1.1343,2.0879,1.3296,1.5116
"Korea, Rep.",KOR,2015,0.6677,1.1984,0.9961,1.0106
"Korea, Rep.",KOR,2016,0.5156,1.1863,0.9759,1.0281
"Korea, Rep.",KOR,2017,0.6255,1.1827,0.9593,1.0119
"Korea, Rep.",KOR,2018,0.8705,1.3865,0.9569,1.1101
"Korea, Rep.",KOR,2019,0.8545,1.6276,0.912,1.1105
"Korea, Rep.",KOR,2020,0.868,1.5915,0.9083,1.148
"Korea, Rep.",KOR,2021,0.9005,1.6262,0.988,1.1682
"Korea, Rep.",KOR,2022,0.8557,1.4845,1.0173,1.1662
"Korea, Rep.",KOR,2023,0.9322,1.4956,0.9997,1.1845
"Korea, Rep.",KOR,2024,0.6393,1.4867,1.0137,1.1175
Netherlands,NLD,2015,0.9119,1.928,1.7857,1.884
Netherlands,NLD,2016,0.8808,1.962,1.9569,1.8914
Netherlands,NLD,2017,0.782,2.0047,1.9684,1.8653
Netherlands,NLD,2018,0.7931,2.0296,1.9367,1.8202
Netherlands,NLD,2019,0.6985,2.064,1.8629,1.8433
Netherlands,NLD,2020,0.7093,2.0398,1.7647,1.832
Netherlands,NLD,2021,0.733,1.8536,1.8243,1.7768
Netherlands,NLD,2022,0.6252,1.765,1.7234,1.7289
Netherlands,NLD,2023,0.6084,1.7511,1.7181,1.7175
Netherlands,NLD,2024,0.4281,1.752,1.7218,1.7069
Peru,PER,2015,-0.3214,-0.2488,0.3176,-0.452
Peru,PER,2016,-0.1795,-0.1707,0.3222,-0.3392
Peru,PER,2017,-0.2243,-0.0735,0.2709,-0.3746
Peru,PER,2018,-0.1689,-0.1608,0.2978,-0.4609
Peru,PER,2019,-0.0889,0.0476,0.345,-0.4564
Peru,PER,2020,-0.2964,-0.1063,0.2251,-0.4321
Peru,PER,2021,-0.3342,-0.0563,0.0848,-0.5208
Peru,PER,2022,-0.6566,-0.0885,0.0716,-0.4873
Peru,PER,2023,-0.724,-0.1971,0.1293,-0.4788
Peru,PER,2024,-0.6544,-0.2004,0.0828,-0.5058
United States,USA,2015,0.6659,1.5728,1.2919,1.377
United States,USA,2016,0.3279,1.5921,1.4077,1.3972
United States,USA,2017,0.1101,1.5989,1.509,1.32
United States,USA,2018,0.2905,1.6427,1.4842,1.1721
United States,USA,2019,0.0546,1.5492,1.3676,1.1235
United States,USA,2020,-0.1468,1.4027,1.2779,1.0044
United States,USA,2021,-0.1264,1.4428,1.4642,1.028
United States,USA,2022,-0.1626,1.4713,1.4588,1.0518
United States,USA,2023,-0.1931,1.3585,1.4307,0.9607
United States,USA,2024,-0.0951,1.36,1.3525,0.9618
Viet Nam,VNM,2015,0.0682,0.0997,-0.329,-0.3727
Viet Nam,VNM,2016,0.1825,0.0544,-0.3117,-0.2606
Viet Nam,VNM,2017,0.15,0.0704,-0.2736,-0.3094
Viet Nam,VNM,2018,-0.0543,0.0185,-0.2921,-0.2855
Viet Nam,VNM,2019,0.0917,0.0409,-0.278,-0.2953
Viet Nam,VNM,2020,0.1302,0.068,-0.2359,-0.3017
Viet Nam,VNM,2021,0.1346,0.0482,-0.3447,-0.3106
Viet Nam,VNM,2022,0.1228,-0.1033,-0.3472,-0.3368
Viet Nam,VNM,2023,0.0908,-0.1794,-0.2794,-0.3402
Viet Nam,VNM,2024,0.0057,-0.0923,-0.2668,-0.3139
