year,partner_country,partner_iso3,export_value_usd,net_weight_kg
2015,USA,USA,9557655.0,2631170.0
2015,Colombia,COL,4966488.0,2758500.0
2015,Cuba,CUB,2220462.0,529200.0
2015,Japan,JPN,964670.0,146852.0
2015,Chile,CHL,705202.0,94492.0
2015,France,FRA,487922.0,112708.0
2015,Germany,DEU,432475.0,109490.0
2015,United Kingdom,GBR,110830.0,9198.0
2015,Canada,CAN,104549.0,23876.0
2015,Argentina,ARG,83794.0,7550.0
2015,Czechia,CZE,49012.0,19549.0
2015,China,CHN,43141.0,5727.0
2015,Russian Federation,RUS,40127.0,5323.0
2015,Australia,AUS,25480.0,3450.0
2015,Belgium,BEL,21164.0,2400.0
2015,"Other Asia, nes",S19,14964.0,4140.0
2015,Netherlands,NLD,13908.0,1315.0
2015,Rep. of Korea,KOR,6420.0,808.0
2015,Spain,ESP,4428.0,1382.0
2015,Italy,ITA,3894.0,226.0
2015,Mexico,MEX,1165.0,183.0
2015,"China, Hong Kong SAR",HKG,258.0,100.0
2015,Qatar,QAT,5.0,5.0
2019,USA,USA,1913632.44,235020.83
2019,Germany,DEU,1438207.08,193103.8
2019,France,FRA,1276081.25,221055.0
2019,Japan,JPN,1256736.99,160017.53
2019,Colombia,COL,1210459.25,699152.5
2019,Chile,CHL,977999.97,160130.3
2019,Cuba,CUB,281279.4,84780.0
2019,China,CHN,176906.68,26214.73
2019,United Kingdom,GBR,175142.83,16429.0
2019,Rep. of Korea,KOR,132918.44,9512.3
2019,"Other Asia, nes",S19,127131.04,11526.75
2019,Canada,CAN,94470.13,17680.6
2019,United Arab Emirates,ARE,78002.6,9670.83
2019,Russian Federation,RUS,25174.22,3233.73
2019,Switzerland,CHE,20543.05,1382.0
2019,Australia,AUS,13782.46,910.0
2019,Czechia,CZE,13169.6,3064.0
2019,Italy,ITA,11043.12,2270.07
2019,Netherlands,NLD,6012.96,1115.8
2019,New Zealand,NZL,4680.01,510.0
2019,Denmark,DNK,3953.52,459.0
2019,"China, Hong Kong SAR",HKG,2777.88,60.0
2019,Argentina,ARG,1898.0,208.0
2019,Bulgaria,BGR,1323.0,61.2
2019,Spain,ESP,25.4,20.0
2021,Colombia,COL,7461963.33,2827076.4
2021,USA,USA,2083060.77,232442.75
2021,Chile,CHL,1722104.96,321475.0
2021,France,FRA,1499997.99,260210.14
2021,Germany,DEU,1443942.33,167291.81
2021,Japan,JPN,705073.65,80322.71
2021,Switzerland,CHE,255336.24,13013.2
2021,China,CHN,249484.38,8820.708
2021,Australia,AUS,245969.52,27375.0
2021,United Kingdom,GBR,209494.42,14919.0
2021,"Other Asia, nes",S19,161602.52,11861.85
2021,Cuba,CUB,158977.99,73500.0
2021,Rep. of Korea,KOR,96180.28,6974.04
2021,Canada,CAN,67725.64,5881.58
2021,Netherlands,NLD,28619.31,3624.78
2021,United Arab Emirates,ARE,19292.0,2130.0
2021,Denmark,DNK,14230.82,750.0
2021,Panama,PAN,10359.1,1420.34
2021,Spain,ESP,7557.28,688.0
2021,Paraguay,PRY,6238.43,418.71
2021,Italy,ITA,6036.45,710.183
2021,Czechia,CZE,5900.0,1000.0
2021,Finland,FIN,5426.46,250.0
2021,Singapore,SGP,4541.78,350.0
2021,Argentina,ARG,4130.0,500.0
2021,Türkiye,TUR,2571.56,212.0
2021,Greece,GRC,960.75,62.25
2021,Peru,PER,357.5,27.22
2021,Russian Federation,RUS,4.0,9.0
2022,Colombia,COL,16005751.5,4218650.0
2022,USA,USA,2411223.8,245168.6
2022,Chile,CHL,1987152.2,357442.4
2022,Belgium,BEL,1630335.4,113538.0
2022,France,FRA,1593820.4,240045.0
2022,Japan,JPN,1285503.0,133905.8
2022,Germany,DEU,907117.4,124537.3
2022,Australia,AUS,562737.6,45541.8
2022,China,CHN,478991.6,36875.6
2022,Canada,CAN,404342.7,47761.1
2022,Italy,ITA,228000.0,34500.0
2022,"Other Asia, nes",S19,185842.9,9720.1
2022,Switzerland,CHE,157541.0,8040.4
2022,United Kingdom,GBR,155257.9,13228.2
2022,Greece,GRC,123122.9,19166.1
2022,Rep. of Korea,KOR,107504.0,3989.2
2022,Denmark,DNK,33587.3,2000.0
2022,Panama,PAN,24199.5,3301.2
2022,United Arab Emirates,ARE,18688.5,2317.0
2022,Singapore,SGP,18235.6,524.0
2022,Netherlands,NLD,14387.9,1772.0
2022,"China, Hong Kong SAR",HKG,10314.4,270.3
2022,Czechia,CZE,4899.5,560.0
2022,Türkiye,TUR,4260.0,200.0
2022,Kazakhstan,KAZ,1045.5,101.4
2022,Thailand,THA,244.5,10.0
2022,Norway,NOR,129.0,6.4
2023,Colombia,COL,2942871.6,
2023,USA,USA,2193058.6,512386.03
2023,Germany,DEU,1498649.6,
2023,France,FRA,1449246.9,
2023,Japan,JPN,1380318.1,
2023,Chile,CHL,1033848.8,92061.794
2023,China,CHN,505797.8,
2023,Canada,CAN,243689.3,
2023,Netherlands,NLD,237216.7,
2023,Rep. of Korea,KOR,162228.8,40731.759
2023,United Kingdom,GBR,158075.6,38304.021
2023,Italy,ITA,152000.0,
2023,Australia,AUS,140690.6,
2023,Denmark,DNK,126437.4,
2023,"Other Asia, nes",S19,114013.9,
2023,Cuba,CUB,84000.0,
2023,"China, Hong Kong SAR",HKG,63620.4,
2023,United Arab Emirates,ARE,22456.0,
2023,New Zealand,NZL,21333.6,
2023,Singapore,SGP,16972.4,
2023,Czechia,CZE,16125.0,
2023,Switzerland,CHE,9700.7,
2023,Sweden,SWE,9246.1,
2023,Peru,PER,6720.0,
2023,Ireland,IRL,5732.4,
2023,South Africa,ZAF,5006.0,
2023,Kyrgyzstan,KGZ,3687.5,
2023,Spain,ESP,3224.2,
2023,Panama,PAN,2648.0,
2023,Georgia,GEO,1497.8,
2023,Qatar,QAT,999.2,
2024,Chile,CHL,2911271.72,554831.92
2024,France,FRA,1630748.9,223611.0
2024,USA,USA,1571031.989,125154.899
2024,Colombia,COL,1367386.2,385550.0
2024,Japan,JPN,1276058.19,127274.8
2024,Rep. of Korea,KOR,546362.22,161311.0
2024,China,CHN,473769.852,15833.77
2024,Germany,DEU,462528.01,57972.78
2024,Netherlands,NLD,396631.48,43048.5
2024,"Other Asia, nes",S19,314370.7,17281.8
2024,Australia,AUS,267310.213,18029.0
2024,Belgium,BEL,233155.52,11638.5
2024,Canada,CAN,191666.14,18774.0
2024,Russian Federation,RUS,190510.5,47064.76
2024,United Kingdom,GBR,150309.54,11322.0
2024,"China, Hong Kong SAR",HKG,72528.64,5998.0
2024,Malaysia,MYS,18480.0,280.0
2024,Spain,ESP,17028.88,990.0
2024,United Arab Emirates,ARE,13200.0,200.0
2024,Latvia,LVA,12390.0,1300.0
