hs_code,description,year,export_value_usd,net_weight_kg
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2019,7875922.18,1657903.05
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2022,26947676.4,5494410.6
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2024,10630096.125,1626893.719
090112,"Coffee, not roasted, decaffeinated",2019,0,0
090112,"Coffee, not roasted, decaffeinated",2022,37980.0,4500.0
090112,"Coffee, not roasted, decaffeinated",2024,64349.68,7300.78
090121,"Coffee, roasted, not decaffeinated",2019,1233502.34,175501.17
090121,"Coffee, roasted, not decaffeinated",2022,1237234.2,149817.0
090121,"Coffee, roasted, not decaffeinated",2024,0,0
090122,"Coffee, roasted, decaffeinated",2019,93844.45,18537.36
090122,"Coffee, roasted, decaffeinated",2022,34911.2,4001.5
090122,"Coffee, roasted, decaffeinated",2024,2477.0,240.0
090190,Coffee husks/skins; coffee substitutes containing coffee,2019,40082.35,5646.39
090190,Coffee husks/skins; coffee substitutes containing coffee,2022,96434.2,10442.8
090190,Coffee husks/skins; coffee substitutes containing coffee,2024,95838.73,7121.14
210111,"Extracts, essences and concentrates of coffee",2019,70929142.91,11056088.38
210111,"Extracts, essences and concentrates of coffee",2022,105676023.7,12269476.1
210111,"Extracts, essences and concentrates of coffee",2024,122096108.5,11839662.46
210112,Preparations based on extracts/essences/concentrates of coffee,2019,715.73,38.52
210112,Preparations based on extracts/essences/concentrates of coffee,2022,5624.3,444.4
210112,Preparations based on extracts/essences/concentrates of coffee,2024,37545.44,8567.252
