year,hs_code,description,partner_country,partner_iso3,export_value_usd,net_weight_kg
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",USA,USA,9360716.0,2620747.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Colombia,COL,4467989.0,2508750.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Cuba,CUB,2220462.0,529200.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Japan,JPN,887020.0,137445.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Germany,DEU,418400.0,108129.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",France,FRA,348494.0,102499.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",United Kingdom,GBR,110830.0,9198.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Canada,CAN,70825.0,21442.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Czechia,CZE,43510.0,18975.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",China,CHN,43141.0,5727.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Argentina,ARG,35519.0,1500.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Australia,AUS,25480.0,3450.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Belgium,BEL,21164.0,2400.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)","Other Asia, nes",S19,14964.0,4140.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Rep. of Korea,KOR,5920.0,708.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Chile,CHL,4944.0,1725.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Spain,ESP,4428.0,1382.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Russian Federation,RUS,1211.0,113.0
2015,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)","China, Hong Kong SAR",HKG,258.0,100.0
2015,090121,"Coffee, roasted, not decaffeinated",Chile,CHL,670627.0,89481.0
2015,090121,"Coffee, roasted, not decaffeinated",Colombia,COL,498499.0,249750.0
2015,090121,"Coffee, roasted, not decaffeinated",USA,USA,154327.0,8074.0
2015,090121,"Coffee, roasted, not decaffeinated",France,FRA,91588.0,6816.0
2015,090121,"Coffee, roasted, not decaffeinated",Japan,JPN,77650.0,9407.0
2015,090121,"Coffee, roasted, not decaffeinated",Argentina,ARG,48275.0,6050.0
2015,090121,"Coffee, roasted, not decaffeinated",Russian Federation,RUS,38308.0,5145.0
2015,090121,"Coffee, roasted, not decaffeinated",Canada,CAN,33724.0,2434.0
2015,090121,"Coffee, roasted, not decaffeinated",Germany,DEU,14075.0,1361.0
2015,090121,"Coffee, roasted, not decaffeinated",Netherlands,NLD,13908.0,1315.0
2015,090121,"Coffee, roasted, not decaffeinated",Czechia,CZE,5503.0,574.0
2015,090121,"Coffee, roasted, not decaffeinated",Italy,ITA,3840.0,222.0
2015,090121,"Coffee, roasted, not decaffeinated",Mexico,MEX,870.0,91.0
2015,090121,"Coffee, roasted, not decaffeinated",Rep. of Korea,KOR,500.0,100.0
2015,090121,"Coffee, roasted, not decaffeinated",Qatar,QAT,5.0,5.0
2015,090122,"Coffee, roasted, decaffeinated",Chile,CHL,23818.0,2589.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,France,FRA,47840.0,3393.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,USA,USA,42611.0,2350.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,Chile,CHL,5813.0,697.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,Russian Federation,RUS,608.0,65.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,Mexico,MEX,295.0,92.0
2015,090190,Coffee husks/skins; coffee substitutes containing coffee,Italy,ITA,54.0,4.0
2015,210111,"Extracts, essences and concentrates of coffee",Germany,DEU,54581699.0,7512128.0
2015,210111,"Extracts, essences and concentrates of coffee",Poland,POL,29612077.0,4268237.0
2015,210111,"Extracts, essences and concentrates of coffee",Russian Federation,RUS,12266697.0,1689876.0
2015,210111,"Extracts, essences and concentrates of coffee",United Kingdom,GBR,5593785.0,875950.0
2015,210111,"Extracts, essences and concentrates of coffee",USA,USA,4416487.0,588869.0
2015,210111,"Extracts, essences and concentrates of coffee",Peru,PER,3443877.0,220199.0
2015,210111,"Extracts, essences and concentrates of coffee",Japan,JPN,3022395.0,376900.0
2015,210111,"Extracts, essences and concentrates of coffee",Netherlands,NLD,2504603.0,368550.0
2015,210111,"Extracts, essences and concentrates of coffee",Ukraine,UKR,2248224.0,368500.0
2015,210111,"Extracts, essences and concentrates of coffee",Mexico,MEX,1456823.0,237250.0
2015,210111,"Extracts, essences and concentrates of coffee",Colombia,COL,1221496.0,206300.0
2015,210111,"Extracts, essences and concentrates of coffee",Belgium,BEL,1190955.0,143500.0
2015,210111,"Extracts, essences and concentrates of coffee",Italy,ITA,899900.0,108500.0
2015,210111,"Extracts, essences and concentrates of coffee",Estonia,EST,865975.0,128750.0
2015,210111,"Extracts, essences and concentrates of coffee",Spain,ESP,571439.0,61000.0
2015,210111,"Extracts, essences and concentrates of coffee","Other Asia, nes",S19,518740.0,64250.0
2015,210111,"Extracts, essences and concentrates of coffee",Türkiye,TUR,467106.0,105000.0
2015,210111,"Extracts, essences and concentrates of coffee",Syria,SYR,424634.0,90000.0
2015,210111,"Extracts, essences and concentrates of coffee",Georgia,GEO,423075.0,55050.0
2015,210111,"Extracts, essences and concentrates of coffee",Czechia,CZE,388045.0,82845.0
2015,210111,"Extracts, essences and concentrates of coffee",Dominican Rep.,DOM,129461.0,13000.0
2015,210111,"Extracts, essences and concentrates of coffee",Egypt,EGY,96784.0,13050.0
2015,210111,"Extracts, essences and concentrates of coffee",Lebanon,LBN,93024.0,16320.0
2015,210111,"Extracts, essences and concentrates of coffee",South Africa,ZAF,58325.0,6525.0
2015,210111,"Extracts, essences and concentrates of coffee",France,FRA,53515.0,6525.0
2015,210111,"Extracts, essences and concentrates of coffee",Rep. of Korea,KOR,46395.0,5200.0
2015,210111,"Extracts, essences and concentrates of coffee",United Arab Emirates,ARE,43200.0,15000.0
2015,210111,"Extracts, essences and concentrates of coffee",China,CHN,234.0,24.0
2015,210112,Preparations based on extracts/essences/concentrates of coffee,Peru,PER,18640.0,2329.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",USA,USA,12094085.0,3209676.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Colombia,COL,1872559.0,1115750.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Cuba,CUB,1235669.0,302400.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Germany,DEU,1000342.0,241929.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Japan,JPN,682344.0,110099.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",France,FRA,367785.0,92767.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",United Kingdom,GBR,162188.0,20700.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Australia,AUS,133757.0,13345.0
2016,090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",Sweden,SWE,122713.0,17250.0
