country,iso3,year,lpi_overall_score,lpi_overall_rank
Belgium,BEL,2016,4.11,6
Belgium,BEL,2018,4.04,3
Belgium,BEL,2022,4,
Brazil,BRA,2016,3.09,55
Brazil,BRA,2018,2.99,56
Brazil,BRA,2022,3.2,
Chile,CHL,2016,3.25,46
Chile,CHL,2018,3.32,34
Chile,CHL,2022,3,
China,CHN,2016,3.66,27
China,CHN,2018,3.61,26
China,CHN,2022,3.7,
Colombia,COL,2016,2.61,94
Colombia,COL,2018,2.94,58
Colombia,COL,2022,2.9,
Ecuador,ECU,2016,2.78,74
Ecuador,ECU,2018,2.88,62
France,FRA,2016,3.9,16
France,FRA,2018,3.84,16
France,FRA,2022,3.9,
Germany,DEU,2016,4.23,1
Germany,DEU,2018,4.2,1
Germany,DEU,2022,4.1,
Japan,JPN,2016,3.97,12
Japan,JPN,2018,4.03,5
Japan,JPN,2022,3.9,
"Korea, Rep.",KOR,2016,3.72,24
"Korea, Rep.",KOR,2018,3.61,25
"Korea, Rep.",KOR,2022,3.8,
Netherlands,NLD,2016,4.19,4
Netherlands,NLD,2018,4.02,6
Netherlands,NLD,2022,4.1,
Peru,PER,2016,2.89,69
Peru,PER,2018,2.69,83
Peru,PER,2022,3,
United States,USA,2016,3.99,10
United States,USA,2018,3.89,14
United States,USA,2022,3.8,
Viet Nam,VNM,2016,2.98,64
Viet Nam,VNM,2018,3.27,39
Viet Nam,VNM,2022,3.3,
