country,iso3,year,population,gdp_per_capita_usd
Belgium,BEL,2015,11274196,40893.8
Belgium,BEL,2016,11331422,41854.55
Belgium,BEL,2017,11375158,44035.32
Belgium,BEL,2018,11427054,47487.21
Belgium,BEL,2019,11488980,46716.62
Belgium,BEL,2020,11538604,45906.29
Belgium,BEL,2021,11586195,51658.24
Belgium,BEL,2022,11680210,50639.03
Belgium,BEL,2023,11779946,55244.68
Belgium,BEL,2024,11858610,56581.94
Brazil,BRA,2015,201675532,8936.2
Brazil,BRA,2016,203218114,8836.29
Brazil,BRA,2017,204703445,10080.51
Brazil,BRA,2018,206107261,9300.66
Brazil,BRA,2019,207455459,9029.83
Brazil,BRA,2020,208660842,7074.19
Brazil,BRA,2021,209550294,7972.54
Brazil,BRA,2022,210306415,9281.33
Brazil,BRA,2023,211140729,10377.59
Brazil,BRA,2024,211998573,10310.55
Chile,CHL,2015,18047625,13433.92
Chile,CHL,2016,18267221,13649.85
Chile,CHL,2017,18558868,14879.91
Chile,CHL,2018,18893191,15659.48
Chile,CHL,2019,19197744,14496.93
Chile,CHL,2020,19370624,13117.99
Chile,CHL,2021,19456334,16216.18
Chile,CHL,2022,19553036,15399.1
Chile,CHL,2023,19658835,17081.52
Chile,CHL,2024,19764771,16658.97
China,CHN,2015,1379860000,8175.33
China,CHN,2016,1387790000,8254.87
China,CHN,2017,1396215000,8979.68
China,CHN,2018,1402760000,10085.66
China,CHN,2019,1407745000,10342.9
China,CHN,2020,1411100000,10627.46
China,CHN,2021,1412360000,12887.44
China,CHN,2022,1412175000,12970.61
China,CHN,2023,1410710000,12951.18
China,CHN,2024,1408975000,13293.12
Colombia,COL,2015,46969940,6248.51
Colombia,COL,2016,47437512,5959.84
Colombia,COL,2017,48131078,6479.53
Colombia,COL,2018,49024465,6816.97
Colombia,COL,2019,49907985,6472.55
Colombia,COL,2020,50629997,5339.69
Colombia,COL,2021,51188173,6222.62
Colombia,COL,2022,51737944,6680.45
Colombia,COL,2023,52321152,7012.49
Colombia,COL,2024,52886363,7951.09
Ecuador,ECU,2015,16266225,5976.16
Ecuador,ECU,2016,16505139,5917.64
Ecuador,ECU,2017,16759519,6233.32
Ecuador,ECU,2018,17049547,6303.92
Ecuador,ECU,2019,17340021,6205.06
Ecuador,ECU,2020,17546065,5463.65
Ecuador,ECU,2021,17682454,6061.32
Ecuador,ECU,2022,17823897,6515.59
Ecuador,ECU,2023,17980083,6718.14
Ecuador,ECU,2024,18135478,6826.53
France,FRA,2015,66548272,36702.43
France,FRA,2016,66724104,37024.22
France,FRA,2017,66918020,38687.16
France,FRA,2018,67158348,41418.18
France,FRA,2019,67382061,40408.28
France,FRA,2020,67601110,39169.86
France,FRA,2021,67842811,43725.1
France,FRA,2022,68184457,40988.64
France,FRA,2023,68372286,44700.14
France,FRA,2024,68551653,46103.08
Germany,DEU,2015,81686611,41929.75
Germany,DEU,2016,82348669,42948.94
Germany,DEU,2017,82657002,45553.93
Germany,DEU,2018,82905782,48916.17
Germany,DEU,2019,83092962,47656.2
Germany,DEU,2020,83160871,47394.87
Germany,DEU,2021,83196078,52349.25
Germany,DEU,2022,83177813,50506.52
Germany,DEU,2023,83287273,54776.77
Germany,DEU,2024,83516593,56103.73
Japan,JPN,2015,127141000,35664.64
Japan,JPN,2016,127076000,40214.97
Japan,JPN,2017,126972000,39679.86
Japan,JPN,2018,126811000,40645.48
Japan,JPN,2019,126633000,41424.87
Japan,JPN,2020,126261000,41098.97
Japan,JPN,2021,125681593,41580.74
Japan,JPN,2022,125124989,35548.26
Japan,JPN,2023,124516650,35215.0
Japan,JPN,2024,123975371,33797.1
"Korea, Rep.",KOR,2015,51014947,30171.79
"Korea, Rep.",KOR,2016,51217803,30832.06
"Korea, Rep.",KOR,2017,51361911,33296.98
"Korea, Rep.",KOR,2018,51585058,35363.95
"Korea, Rep.",KOR,2019,51764822,33826.94
"Korea, Rep.",KOR,2020,51836239,33645.77
"Korea, Rep.",KOR,2021,51769539,37518.46
"Korea, Rep.",KOR,2022,51672569,34822.4
"Korea, Rep.",KOR,2023,51712619,35674.1
"Korea, Rep.",KOR,2024,51751065,36238.64
Netherlands,NLD,2015,16939923,45793.81
Netherlands,NLD,2016,17030314,46808.53
Netherlands,NLD,2017,17131296,49513.68
Netherlands,NLD,2018,17231624,53955.08
Netherlands,NLD,2019,17344874,53554.9
Netherlands,NLD,2020,17441500,53467.93
Netherlands,NLD,2021,17533044,60141.99
Netherlands,NLD,2022,17700982,59123.32
Netherlands,NLD,2023,17877117,63515.6
Netherlands,NLD,2024,17993485,67465.32
Peru,PER,2015,30457600,6231.71
Peru,PER,2016,30866494,6217.04
Peru,PER,2017,31324637,6736.17
Peru,PER,2018,31897584,6978.49
Peru,PER,2019,32449303,7037.01
Peru,PER,2020,32838579,6133.33
