hs_code,description,year,export_value_usd,net_weight_kg
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2015,18085275.0,6077630.0
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2016,17853271.0,5161067.0
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2017,16887539.96,5049729.53
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2018,12768515.89,4433782.06
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2019,7875922.18,1657903.05
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2020,8708514.87,1776233.82
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2021,14923284.6,3868951.95
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2022,26947676.4,5494410.6
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2023,11306556.8,0.0
090111,"Coffee, not roasted, not decaffeinated (green Arabica/Robusta unspecified)",2024,10630096.12,1626893.72
090112,"Coffee, not roasted, decaffeinated",2016,2570.0,296.0
090112,"Coffee, not roasted, decaffeinated",2020,25635.21,2673.82
090112,"Coffee, not roasted, decaffeinated",2021,22392.8,2569.15
090112,"Coffee, not roasted, decaffeinated",2022,37980.0,4500.0
090112,"Coffee, not roasted, decaffeinated",2023,25916.0,0.0
090112,"Coffee, not roasted, decaffeinated",2024,64349.68,7300.78
090121,"Coffee, roasted, not decaffeinated",2015,1651699.0,380825.0
090121,"Coffee, roasted, not decaffeinated",2016,1046406.0,113739.0
090121,"Coffee, roasted, not decaffeinated",2017,530460.3,66081.24
090121,"Coffee, roasted, not decaffeinated",2018,989533.46,132523.42
090121,"Coffee, roasted, not decaffeinated",2019,1233502.34,175501.17
090121,"Coffee, roasted, not decaffeinated",2020,1123551.58,170881.17
090121,"Coffee, roasted, not decaffeinated",2021,1347221.41,173352.21
090121,"Coffee, roasted, not decaffeinated",2022,1237234.2,149817.0
090121,"Coffee, roasted, not decaffeinated",2023,1095184.3,90773.34
090121,"Coffee, roasted, not decaffeinated",2024,1405936.92,190956.11
090122,"Coffee, roasted, decaffeinated",2015,23818.0,2589.0
090122,"Coffee, roasted, decaffeinated",2016,31807.0,3181.0
090122,"Coffee, roasted, decaffeinated",2017,32189.0,3417.06
090122,"Coffee, roasted, decaffeinated",2018,55212.5,5638.8
090122,"Coffee, roasted, decaffeinated",2019,93844.45,18537.36
090122,"Coffee, roasted, decaffeinated",2021,107973.6,12462.89
090122,"Coffee, roasted, decaffeinated",2022,34911.2,4001.5
090122,"Coffee, roasted, decaffeinated",2023,66462.0,8.32
090122,"Coffee, roasted, decaffeinated",2024,2477.0,240.0
090190,Coffee husks/skins; coffee substitutes containing coffee,2015,97221.0,6601.0
090190,Coffee husks/skins; coffee substitutes containing coffee,2016,86072.0,10945.0
090190,Coffee husks/skins; coffee substitutes containing coffee,2017,49277.0,12341.24
090190,Coffee husks/skins; coffee substitutes containing coffee,2018,143502.93,52546.84
090190,Coffee husks/skins; coffee substitutes containing coffee,2019,40082.35,5646.39
090190,Coffee husks/skins; coffee substitutes containing coffee,2020,56399.16,5139.8
090190,Coffee husks/skins; coffee substitutes containing coffee,2021,76267.05,5980.47
090190,Coffee husks/skins; coffee substitutes containing coffee,2022,96434.2,10442.8
090190,Coffee husks/skins; coffee substitutes containing coffee,2023,116993.9,13.18
090190,Coffee husks/skins; coffee substitutes containing coffee,2024,95838.73,7121.14
210111,"Extracts, essences and concentrates of coffee",2015,126638970.0,17627298.0
210111,"Extracts, essences and concentrates of coffee",2016,129535926.0,19408636.0
210111,"Extracts, essences and concentrates of coffee",2017,101901429.27,14242995.6
210111,"Extracts, essences and concentrates of coffee",2018,69412114.35,9472857.25
210111,"Extracts, essences and concentrates of coffee",2019,70929142.91,11056088.38
210111,"Extracts, essences and concentrates of coffee",2020,59839979.66,9471997.27
210111,"Extracts, essences and concentrates of coffee",2021,61653468.24,10309282.38
210111,"Extracts, essences and concentrates of coffee",2022,105676023.7,12269476.1
210111,"Extracts, essences and concentrates of coffee",2023,118026616.7,102646.23
210111,"Extracts, essences and concentrates of coffee",2024,122096108.5,11839662.46
210112,Preparations based on extracts/essences/concentrates of coffee,2015,18640.0,2329.0
210112,Preparations based on extracts/essences/concentrates of coffee,2016,20637.0,7800.0
210112,Preparations based on extracts/essences/concentrates of coffee,2017,1345.15,40.88
210112,Preparations based on extracts/essences/concentrates of coffee,2018,1269.81,120.09
210112,Preparations based on extracts/essences/concentrates of coffee,2019,715.73,38.52
210112,Preparations based on extracts/essences/concentrates of coffee,2020,24312.0,4029.48
210112,Preparations based on extracts/essences/concentrates of coffee,2021,37780.74,4303.86
210112,Preparations based on extracts/essences/concentrates of coffee,2022,5624.3,444.4
210112,Preparations based on extracts/essences/concentrates of coffee,2023,24876.5,522.08
210112,Preparations based on extracts/essences/concentrates of coffee,2024,37545.44,8567.25
