market,iso3,year,import_value_usd,import_net_weight_kg
Chile,CHL,2015,50641722.04,0
Chile,CHL,2016,50571640.25,0
Chile,CHL,2017,61746545.65,0
Chile,CHL,2018,56011331.67,16071333.77
Chile,CHL,2019,58463419.11,19169311.06
Chile,CHL,2020,45754728.96,15803632.02
Chile,CHL,2021,71595039.29,18592169.32
Chile,CHL,2022,89242576.98,15568153.11
Chile,CHL,2023,94431278.6,20062125.08
Chile,CHL,2024,111470442.58,19100583.54
United States,USA,2015,6034025090.0,1538551606.0
United States,USA,2016,5746616720.0,1603574578.2
United States,USA,2017,6314186617.0,1624476107.0
United States,USA,2018,5719420655.0,1582022299.16
United States,USA,2019,5841573100.0,1695023846.43
United States,USA,2020,5677018278.0,1525262786.0
United States,USA,2021,6920017773.0,1580309047.06
United States,USA,2022,9786287034.0,1625155535.62
United States,USA,2023,8201729476.0,1389262732.25
United States,USA,2024,8991203537.0,1476856514.73
Colombia,COL,2015,15447144.0,6776118.0
Colombia,COL,2016,17128729.0,11949898.0
Colombia,COL,2017,30537843.16,21591684.6
Colombia,COL,2018,96060513.95,59908879.43
Colombia,COL,2019,73936225.65,44112333.25
Colombia,COL,2020,101024283.73,63435078.42
Colombia,COL,2021,203141642.69,102998083.25
Colombia,COL,2022,489055844.37,142703721.36
Colombia,COL,2023,257860133.81,90697045.14
Colombia,COL,2024,115612532.95,38297244.88
Japan,JPN,2015,1581142038.0,442310665.0
Japan,JPN,2016,1415348978.0,442647777.0
Japan,JPN,2017,1431601136.2,414075138.0
Japan,JPN,2018,1261194761.38,409747936.0
Japan,JPN,2019,1248015382.54,445635254.0
Japan,JPN,2020,1178119827.18,399205911.0
Japan,JPN,2021,1318671522.28,409844586.0
Japan,JPN,2022,1774390487.5,397880906.0
Japan,JPN,2023,1560657642.28,362565849.0
Japan,JPN,2024,1714414412.72,366365654.0
Republic of Korea,KOR,2015,547094396.0,137794698.0
Republic of Korea,KOR,2016,562774034.0,153029494.0
Republic of Korea,KOR,2017,655344131.0,159309330.4
Republic of Korea,KOR,2018,637287841.0,158385392.35
Republic of Korea,KOR,2019,661673379.0,167654857.89
Republic of Korea,KOR,2020,737794503.0,176647962.51
Republic of Korea,KOR,2021,916480095.0,189502416.89
Republic of Korea,KOR,2022,1304982184.0,205064768.68
Republic of Korea,KOR,2023,1111110715.0,192623325.21
Republic of Korea,KOR,2024,1243041589.0,201924363.03
China,CHN,2015,228816705.0,59184027.05
China,CHN,2016,493769938.0,82910911.69
China,CHN,2017,262245503.0,65471044.0
China,CHN,2018,302426141.0,66383079.63
China,CHN,2019,269606800.0,65170427.12
China,CHN,2020,313102114.0,70625805.73
China,CHN,2021,526583115.0,122816852.84
China,CHN,2022,718130602.0,124674510.75
China,CHN,2023,800472933.0,153896463.88
China,CHN,2024,972565405.0,190892366.51
France,FRA,2015,2390499846.0,343601763.0
France,FRA,2016,2356562347.0,343133651.0
France,FRA,2017,2753174908.88,353125971.79
France,FRA,2018,2834049308.6,462981478.33
France,FRA,2019,2732278127.18,407587676.41
France,FRA,2020,2892373125.27,386427149.3
France,FRA,2021,3083532366.67,413294736.18
France,FRA,2022,3219769785.61,384725097.49
France,FRA,2023,3336532564.96,380520779.63
France,FRA,2024,3417785555.36,381496182.21
Germany,DEU,2015,3406893098.46,1110813268.63
Germany,DEU,2016,3377634878.01,1198451570.66
Germany,DEU,2017,3519659854.47,1122084060.72
Germany,DEU,2018,3294752093.93,1166444492.67
Germany,DEU,2019,3097029168.27,1176203246.02
Germany,DEU,2020,3386437527.32,1175978126.89
Germany,DEU,2021,3837836014.55,1173902992.86
Germany,DEU,2022,5161179506.45,1216998985.51
Germany,DEU,2023,4192865382.43,1022186797.53
Germany,DEU,2024,5463719519.39,1211124229.26
Netherlands,NLD,2015,1069966982.75,239404151.61
Netherlands,NLD,2016,1029239869.79,250595444.62
Netherlands,NLD,2017,1243426290.82,260161320.03
Netherlands,NLD,2018,1288930239.14,277628100.36
Netherlands,NLD,2019,1156953003.31,276294448.34
Netherlands,NLD,2020,1188565545.98,259872797.68
Netherlands,NLD,2021,1312609110.91,268630191.56
Netherlands,NLD,2022,1668868248.6,319609681.7
Netherlands,NLD,2023,1464979535.37,252724386.48
Netherlands,NLD,2024,1527900894.13,248121487.07
Belgium,BEL,2015,550327967.95,140975944.42
Belgium,BEL,2016,468348137.23,126910422.35
Belgium,BEL,2017,504230312.7,123540236.46
Belgium,BEL,2018,601113685.17,164599918.3
Belgium,BEL,2019,598544324.64,179061749.81
Belgium,BEL,2020,608048981.64,173779219.44
Belgium,BEL,2021,679815946.57,162658743.69
Belgium,BEL,2022,872481453.83,168142660.13
Belgium,BEL,2023,877593393.38,169341146.22
Belgium,BEL,2024,947009249.71,171108601.92
